type,expression,pinyin,meaning_ja,example,example_pinyin,example_ja
三字表現,了不起,liǎobuqǐ,すごい、たいしたものだ,她一个人把这么难的工作做完了，真了不起。,"Tā yí ge rén bǎ zhème nán de gōngzuò zuò wán le, zhēn liǎobuqǐ.",彼女は一人でこんな難しい仕事をやり終えた。本当にすごい。
三字表現,没办法,méi bànfǎ,仕方がない、方法がない,今天没有别的车了，我们没办法，只能走回去。,"Jīntiān méiyǒu bié de chē le, wǒmen méi bànfǎ, zhǐ néng zǒu huíqu.",今日はほかの車がないので、仕方なく歩いて帰るしかない。
三字表現,来不及,lái bu jí,間に合わない,快一点儿，不然就来不及了。,"Kuài yìdiǎnr, bùrán jiù lái bu jí le.",少し急いで。でないと間に合わないよ。
三字表現,看得出,kàn de chū,見て分かる、見抜ける,看得出你最近真的很忙。,Kàn de chū nǐ zuìjìn zhēn de hěn máng.,最近あなたが本当に忙しいのが見て分かる。
三字表現,受不了,shòu bu liǎo,耐えられない、我慢できない,天气太热了，我真的受不了了。,"Tiānqì tài rè le, wǒ zhēn de shòu bu liǎo le.",暑すぎて、本当にもう耐えられない。
三字表現,想不到,xiǎng bu dào,思いもよらない、考えつかない,想不到他会这么快答应。,Xiǎng bu dào tā huì zhème kuài dāying.,彼がこんなに早く承諾するとは思わなかった。
三字表現,说不定,shuōbudìng,もしかすると、ひょっとしたら,别担心，说不定明天就有好消息了。,"Bié dānxīn, shuōbudìng míngtiān jiù yǒu hǎo xiāoxi le.",心配しないで。もしかしたら明日には良い知らせがあるかもしれない。
三字表現,不得了,bùdéliǎo,大変だ、ものすごい,外面下的雨大得不得了。,Wàimiàn xià de yǔ dà de bùdéliǎo.,外はものすごい大雨だ。
三字表現,差不多,chàbuduō,ほとんど同じ、だいたい,这两个办法差不多，你选哪个都可以。,"Zhè liǎng ge bànfǎ chàbuduō, nǐ xuǎn nǎ ge dōu kěyǐ.",この二つの方法はだいたい同じなので、どちらを選んでもいい。
三字表現,不一定,bù yídìng,必ずしも～とは限らない,贵的东西不一定适合你。,Guì de dōngxi bù yídìng shìhé nǐ.,高いものが必ずしもあなたに合うとは限らない。
三字表現,怪不得,guàibude,なるほど～なわけだ、道理で,怪不得你这么累，原来昨天只睡了三个小时。,"Guàibude nǐ zhème lèi, yuánlái zuótiān zhǐ shuì le sān ge xiǎoshí.",道理でそんなに疲れているわけだ。昨日は3時間しか寝ていなかったんだね。
三字表現,不见得,bú jiànde,必ずしも～とは限らない,他说得很有信心，但结果不见得会这样。,"Tā shuō de hěn yǒu xìnxīn, dàn jiéguǒ bú jiànde huì zhèyàng.",彼は自信たっぷりに言っているが、結果が必ずそうなるとは限らない。
三字表現,有的是,yǒudeshì,いくらでもある、たくさんある,别着急，我们有的是时间。,"Bié zháojí, wǒmen yǒudeshì shíjiān.",焦らないで。時間ならいくらでもあるよ。
三字表現,说实话,shuō shíhuà,正直に言うと,说实话，我第一次见到这个词。,"Shuō shíhuà, wǒ dì-yī cì jiàndào zhège cí.",正直に言うと、この単語を見るのは初めてだ。
三字表現,开玩笑,kāi wánxiào,冗談を言う、からかう,我只是开玩笑，你别生气。,"Wǒ zhǐshì kāi wánxiào, nǐ bié shēngqì.",ただ冗談を言っただけだから、怒らないで。
四字成語,莫名其妙,mò míng qí miào,わけが分からない、なんとも説明しがたい,他说完就走了，我觉得莫名其妙。,"Tā shuō wán jiù zǒu le, wǒ juéde mò míng qí miào.",彼は話し終えるとすぐ行ってしまい、私はわけが分からなかった。
四字成語,一模一样,yì mú yí yàng,まったく同じ、そっくり,这两件衣服看起来一模一样。,Zhè liǎng jiàn yīfu kàn qǐlái yì mú yí yàng.,この2着の服は見たところまったく同じだ。
四字成語,乱七八糟,luàn qī bā zāo,めちゃくちゃな、散らかっている,我的桌子被文件放得乱七八糟。,Wǒ de zhuōzi bèi wénjiàn fàng de luàn qī bā zāo.,私の机は書類でめちゃくちゃに散らかっている。
四字成語,半途而废,bàn tú ér fèi,途中でやめる、中途半端に投げ出す,学语言最怕半途而废，坚持下去才会进步。,"Xué yǔyán zuì pà bàn tú ér fèi, jiānchí xiàqù cái huì jìnbù.",語学学習で一番よくないのは途中でやめることだ。続けてこそ上達する。
四字成語,自言自语,zì yán zì yǔ,独り言を言う,他一边找钥匙，一边自言自语。,"Tā yìbiān zhǎo yàoshi, yìbiān zì yán zì yǔ.",彼は鍵を探しながら独り言を言っていた。
四字成語,理所当然,lǐ suǒ dāng rán,当然である、当たり前である,别人帮你并不是理所当然的事。,Biérén bāng nǐ bìng bú shì lǐ suǒ dāng rán de shì.,人があなたを助けてくれることは、決して当たり前ではない。
四字成語,大吃一惊,dà chī yì jīng,大いに驚く、びっくりする,看到考试结果时，我大吃一惊。,"Kàndào kǎoshì jiéguǒ shí, wǒ dà chī yì jīng.",試験結果を見たとき、私はとても驚いた。
四字成語,不知不觉,bù zhī bù jué,知らず知らずのうちに,不知不觉，我已经学了两个小时。,"Bù zhī bù jué, wǒ yǐjīng xué le liǎng ge xiǎoshí.",気づかないうちに、もう2時間勉強していた。
四字成語,一心一意,yì xīn yí yì,一心に、ひたすら,这段时间我想一心一意准备考试。,Zhè duàn shíjiān wǒ xiǎng yì xīn yí yì zhǔnbèi kǎoshì.,この期間は試験準備に一心に取り組みたい。
四字成語,马马虎虎,mǎmǎhūhū,まあまあ、いい加減な,他的中文说得马马虎虎，还需要多练习。,"Tā de Zhōngwén shuō de mǎmǎhūhū, hái xūyào duō liànxí.",彼の中国語はまあまあで、まだもっと練習が必要だ。
四字成語,越来越好,yuèláiyuè hǎo,ますます良くなる,只要坚持练习，你的发音会越来越好。,"Zhǐyào jiānchí liànxí, nǐ de fāyīn huì yuèláiyuè hǎo.",練習を続ければ、発音はますます良くなる。
四字成語,全心全意,quán xīn quán yì,心を込めて、全身全霊で,她全心全意地帮助新来的同事。,Tā quán xīn quán yì de bāngzhù xīn lái de tóngshì.,彼女は新しく来た同僚を心を込めて助けている。
四字成語,千方百计,qiān fāng bǎi jì,あらゆる方法を尽くす,为了按时完成任务，大家千方百计想办法。,"Wèile ànshí wánchéng rènwu, dàjiā qiān fāng bǎi jì xiǎng bànfǎ.",期限どおりに仕事を終えるため、皆があらゆる方法を考えた。
四字成語,各式各样,gè shì gè yàng,さまざまな、いろいろな,这家店里有各式各样的笔记本。,Zhè jiā diàn lǐ yǒu gè shì gè yàng de bǐjìběn.,この店にはさまざまなノートがある。
四字成語,无论如何,wúlùn rúhé,何があっても、どうしても,无论如何，我都想把这本书读完。,"Wúlùn rúhé, wǒ dōu xiǎng bǎ zhè běn shū dú wán.",何があっても、この本を読み終えたい。
